record_id,pubmedID,title,authors,abstract,year,label_included,label_abstract_screening
11,10053176,Effects of calcium-channel blockade in older patients with diabetes and systolic hypertension. Systolic Hypertension in Europe Trial Investigators.,J Tuomilehto; D Rastenyte; W H Birkenhäger; L Thijs; R Antikainen; C J Bulpitt; A E Fletcher; F Forette; A Goldhaber; P Palatini; C Sarti; R Fagard,"Recent reports suggest that calcium-channel blockers may be harmful in patients with diabetes and hypertension. We previously reported that antihypertensive treatment with the calcium-channel blocker nitrendipine reduced the risk of cardiovascular events. In this post hoc analysis, we compared the outcome of treatment with nitrendipine in diabetic and nondiabetic patients. After stratification according to center, sex, and presence or absence of previous cardiovascular complications, 4695 patients (age, > or =60 years) with systolic blood pressure of 160 to 219 mm Hg and diastolic pressure below 95 mm Hg were randomly assigned to receive active treatment or placebo. Active treatment consisted of nitrendipine (10 to 40 mg per day) with the possible addition or substitution of enalapril (5 to 20 mg per day) or hydrochlorothiazide (12.5 to 25 mg per day) or both, titrated to reduce the systolic blood pressure by at least 20 mm Hg and to less than 150 mm Hg. In the control group, matching placebo tablets were administered similarly. At randomization, 492 patients (10.5 percent) had diabetes. After a median follow-up of two years, the systolic and diastolic blood pressures in the placebo and active-treatment groups differed by 8.6 and 3.9 mm Hg, respectively, among the diabetic patients. Among the 4203 patients without diabetes, systolic and diastolic pressures differed by 10.3 and 4.5 mm Hg, respectively, in the two groups. After adjustment for possible confounders, active treatment was found to have reduced overall mortality by 55 percent (from 45.1 deaths per 1000 patients to 26.4 deaths per 1000 patients), mortality from cardiovascular disease by 76 percent, all cardiovascular events combined by 69 percent, fatal and nonfatal strokes by 73 percent, and all cardiac events combined by 63 percent in the group of patients with diabetes. Among the nondiabetic patients, active treatment decreased all cardiovascular events combined by 26 percent and fatal and nonfatal strokes by 38 percent. In the group of patients receiving active treatment, reductions in overall mortality, mortality from cardiovascular disease, and all cardiovascular events were significantly larger among the diabetic patients than among the nondiabetic patients (P=0.04, P=0.02, and P=0.01, respectively). Nitrendipine-based antihypertensive therapy is particularly beneficial in older patients with diabetes and isolated systolic hypertension. Thus, our findings do not support the hypothesis that the use of long-acting calcium-channel blockers may be harmful in diabetic patients.",1999.0,0,0
12,10063787,Low-dose combination therapy as first-line hypertension treatment for blacks and nonblacks.,L M Prisant; J M Neutel; K Ferdinand; V Papademetriou; V DeQuattro; W D Hall; M R Weir,"To assess the efficacy and safety of bisoprolol/6.25-mg hydrochlorothiazide (HCTZ), amlodipine, and enalapril in black and nonblack patients, data from two comparative studies were pooled and subgroup analyses performed. Both studies had similar designs and included all three active treatments. The second study also included a placebo group. Subjects (n = 541) with a sitting diastolic blood pressure of 95-114 mmHg were titrated to achieve a diastolic blood pressure < or = 90 mmHg. The studies included 114 blacks and 427 nonblacks. Results of an intention-to-treat analysis of mean change from baseline after 12 weeks of treatment showed the following: 1) blood pressure was significantly lowered by all three active drugs compared with baseline or placebo; 2) in blacks, bisoprolol/6.25-mg HCTZ resulted in significantly greater reductions of systolic and diastolic blood pressure than enalapril or placebo, but was not significantly different from amlodipine; 3) in nonblacks, bisoprolol/6.25-mg HCTZ resulted in significantly greater reduction of diastolic blood pressure than amlodipine, enalapril, or placebo. The placebo-corrected change in blood pressure was greater for blacks than whites on the bisoprolol/6.25-mg HCTZ combination, but this was not statistically significant. Bisoprolol/6.25-mg HCTZ controlled diastolic blood pressure to < or = 90 mmHg in significantly more patients than enalapril or placebo in blacks and nonblacks. The difference in control rates was not significant versus amlodipine. The incidence of drug-related adverse events was similar between treatments; however, bisoprolol/6.25-mg HCTZ had a lower discontinuation rate due to lack of blood pressure control or adverse experiences in both blacks and nonblacks.",1999.0,0,0
13,10066961,Linear IgA bullous dermatosis in a patient with acute lymphocytic leukemia: possible involvement of granulocyte colony-stimulating factor.,Y Kano; T Kokaji; T Shiohara,"We describe a case of linear IgA bullous dermatosis (LABD) in a patient with acute lymphocytic leukemia during treatment with granulocyte colony-stimulating factor (G-CSF). After a drug eruption due to imipenem cilastatin sodium had disappeared, bullous lesions appeared on the trunk. Results of histopathological studies and direct immunofluorescence studies of the lesion were consistent with LABD. Reinstitution of G-CSF after the resolution, however, did not reproduce the bullous eruptions. This suggests that in addition to G-CSF, the presence of precipitating factors that can synergistically enhance or accelerate the outbreak of the disease is required for the development of bullous lesions. Various cytokines, such as interleukin-2 (IL-2) and interferon-gamma (IFN-gamma), endogenously produced from activated lymphocytes during the drug eruption might have provided a favorable milieu for the onset of G-CSF-induced LABD. We suggest that patients with LABD will need special attention with respect to the type of cytokines or combination of cytokines given as therapeutic modalities.",1999.0,0,0
14,10067800,"Efficacy and safety of telmisartan, a selective AT1 receptor antagonist, compared with enalapril in elderly patients with primary hypertension. TEES Study Group.",B E Karlberg; L E Lins; K Hermansson,"To assess the antihypertensive efficacy and safety of the novel AT1 receptor antagonist, telmisartan, compared with that of enalapril in elderly patients with mild to moderate hypertension. A 26-week, multicenter, double-blind, parallel-group, dosage titration study. A total of 278 patients aged > or = 65 years were randomized to eithertelmisartan or enalapril once a day. The telmisartan dosage was increased from 20 to 40-80 mg and that of enalapril from 5 to 10-20 mg at 4-week intervals until trough supine diastolic blood pressure was < 90 mmHg. After 12 weeks, hydrochlorothiazide at 12.5-25 mg once a day was added to the treatment regimen of those patients not controlled on monotherapy. Both treatments lowered blood pressure in a comparable and clinically meaningful manner. The adjusted mean changes from baseline in supine diastolic blood pressure at trough were -12.8 mmHg for telmisartan and -11.4 mmHg for enalapril (P = 0.074). Mean changes in supine systolic blood pressure were -22.1 mmHg for telmisartan and -20.1 mmHg for enalapril (P = 0.350). Overall, 63 and 62% of patients responded to telmisartan and enalapril, respectively, with a supine diastolic blood pressure of < 90 mmHg. Both regimens provided effective blood pressure lowering over the 24 h dosing interval, as determined by ambulatory blood pressure monitoring. Both regimens were well tolerated; however, patients on the enalapril regimen had more than double the incidence of treatment-related cough compared with those on the telmisartan regimen (16 versus 6.5%). These results demonstrate that telmisartan is well tolerated and is at least as effective as enalapril in treating elderly patients with mild to moderate hypertension.",1999.0,0,0
15,10069777,Meeting highlights. Highlights of the 20th congress of the European society of cardiology.,J J Ferguson,,1999.0,0,0
16,10072218,Acute anti-ischemic effects of perindoprilat in men with coronary artery disease and their relation with left ventricular function.,G L Bartels; F M van den Heuvel; D J van Veldhuisen; M van der Ent; W J Remme,"Long-term angiotensin-converting enzyme (ACE) inhibition may reduce ischemic events in patients with coronary artery disease, but whether it protects against acute ischemia or the effects of preexisting left ventricular (LV) dysfunction on potential anti-ischemic properties is unknown. We performed a double-blind trial in 25 patients with exercise-induced ischemia. The effects of perindoprilat on pacing-induced myocardial ischemia were examined. Fourteen patients received perindoprilat and 11 patients received placebo. Based on LV function, 2 subgroups were formed in the perindoprilat group: 7 patients with LV dysfunction (LV ejection fraction <0.40), and 7 patients with normal LV function. After receiving the study medication, the pacing test was repeated. During the first pacing test both groups developed ischemia. After perindoprilat administration, the increase in systemic vascular resistance and LV end-diastolic pressure were significantly blunted (p <0.05). Further, the ischemia-induced increase in arterial and cardiac uptake of norepinephrine was inhibited by perindoprilat, and the increase in atrial natriuretic peptide was less pronounced; also, ST-segment depression was reduced by 32% compared with placebo (all p <0.05). In the group with LV dysfunction, perindoprilat reduced LV end-diastolic pressure significantly by 67% and myocardial lactate production was prevented, but this did not happen in the group with normal LV function. In addition, the increase in arterial norepinephrine was reduced by 74% and 33%, respectively (p <0.05). These results indicate that perindoprilat reduced acute, pacing-induced ischemia in normotensive patients. In patients with (asymptomatic) LV dysfunction these effects were more pronounced than in patients with normal LV function.",1999.0,0,0
17,10073748,Cough and angiotensin II receptor antagonists: cause or confounding?,F J Mackay; G L Pearce; R D Mann,"Cough is one of the most frequent side effects associated with angiotensin converting enzyme inhibitors (ACEIs) but is not thought to be associated with losartan, an angiotensin II receptor antagonist (ARA). This study compares reports of cough with losartan and three ACEIs used in general practice. Studies have been conducted for losartan, and three ACEIs enalapril, lisinopril and perindopril, using the technique of Prescription-Event Monitoring. Patients were identified using dispensed prescription data. Questionnaires were sent to patients' general practitioners 6 months after the date of first prescription. Cases of cough within the first 60 days of treatment with losartan resulting in withdrawal of the drug were followed up with additional questionnaires. Incidence rates for reports of cough were calculated. In order to reduce the impact of carry-over effects, rate ratios were calculated for first reports of cough between days 8 and 60 using losartan as the index drug. The cohort for each drug exceeded 9000 patients. Age and sex distributions and indications for prescribing the four drugs were similar. Cough was the most frequent reason for discontinuation of losartan and the most frequently reported event in the first month of treatment with this drug. When reports of cough between days 1-7 were excluded, rates of cough were significantly higher for the three ACEIs when compared with losartan (rate ratios 1.5, 4.8 and 5.7, all P<0.03). 101 patients had discontinued losartan due to cough. 91% of these had previously been prescribed an ACEI and 86% had previously experienced ACEI cough. Carry-over accounted for the observed excess of reports of cough with losartan. Rates of cough between days 8 and 60 were significantly higher for the three ACEIs compared with losartan. Confounding factors associated with comparative observational cohort studies are discussed.",1999.0,0,0
18,10073783,Angiotensin-converting enzyme inhibition as antiatherosclerotic therapy: no answer yet. QUIET Investigators. QUinapril Ischemic Event Trial.,L Cashin-Hemphill; G Holmvang; R C Chan; B Pitt; R E Dinsmore; R S Lees,"Angiotensin-converting enzyme inhibitors have proven to be of clinical benefit in congestive heart failure. Whether they also provide benefit to patients with coronary artery disease in the absence of congestive heart failure via an antiatherosclerotic mechanism is a question the QUinapril Ischemic Event Trial quantitative coronary angiography (QCA) study attempted to answer: 1,750 patients with normal left ventricular function who were undergoing coronary angiography and angioplasty were randomized to 20 mg/day of quinapril versus placebo and followed for 3 years for cardiac end points. A randomly selected subgroup of the total cohort underwent follow-up angiography. The primary QCA end point was the categorical designation of progression versus nonprogression, defined either by QCA or by a cardiac event in patients selected for the QCA trial who had no usable follow-up x-ray film. Secondary end points in patients with 2 angiograms were: new stenosis development, change in minimum lumen diameter index, and change in percent diameter stenosis index. There were 119 progressors among 243 placebo-treated patients (49%) and 111 progressors among 234 quinapril-treated patients (47%) (p = NS). There were 44 patients with new stenosis development in the placebo group (19%) and 50 (22%) in the quinapril group (p = NS). Change in minimum lumen diameter index was -0.21+/-0.03 mm in the placebo group and -0.18+/-0.03 mm in the quinapril group (p = NS). Finally, change in percent diameter stenosis index was +5.1+/-1.0 in the placebo group and +3.5+/-1.0 in the quinapril group (p = NS). Potential confounders of this trial are presented and discussed.",1999.0,0,0
19,10073846,Comparison of the effects of losartan and captopril on mortality in patients after acute myocardial infarction: the OPTIMAAL trial design. Optimal Therapy in Myocardial Infarction with the Angiotensin II Antagonist Losartan.,K Dickstein; J Kjekshus,"Patients with acute myocardial infarction and evidence of heart failure or left ventricular dysfunction during the acute phase have an excessive mortality risk. Therapy with angiotensin-converting enzyme inhibitors attenuates the detrimental effects of angiotensin II and has been shown to substantially reduce morbidity and mortality in this population. Selective, angiotensin type 1 receptor antagonism with losartan, which inhibits the effects of angiotensin II regardless of its source at the receptor level, may provide more complete blockade of the renin-angiotensin system. The Optimal Therapy in Myocardial Infarction with the Angiotensin II Antagonist Losartan (OPTIMAAL) study is a multicenter, double-blind, randomized, parallel, captopril-controlled trial. The primary hypothesis is that, compared with captopril, losartan will decrease the risk for all-cause mortality by 20% in high-risk patients after acute myocardial infarction. The study population will consist of 5,000 patients, > or = 50 years of age, with heart failure during the acute phase or with a new Q-wave anterior infarction or reinfarction. Patients will be randomized to treatment with either losartan or captopril. All patients will be followed until 937 deaths occur (event-driven). The primary end point is total mortality (all-cause mortality). The secondary and tertiary end points are sudden death (and/or resuscitated cardiac death) and fatal/nonfatal reinfarction. Based on the assumed event rate, treatment effect and a 95% power to detect a 20% reduction in all-cause mortality at the 4.3% significance level (2-sided, adjusted for 2 interim analyses), the trial will enroll at least 5,004 patients and continue until a total number of 937 events has been reached (intention-to-treat analysis).",1999.0,0,1
20,10075143,,,,,0,0
21,10075388,Reduced bcl-2 concentrations in hypertensive patients after lisinopril or nifedipine administration.,M Buemi; A Allegra; F Corica; C Aloisi; A Ruello; M S Giacobbe; G Di Pasquale; M Senatore; N Frisina,"In 30 patients with essential hypertension and 30 healthy control subjects, we evaluated blood concentrations of B cell leukemia-2 (bcl-2), a protooncogene that can reduce apoptosis. Bcl-2 concentrations were higher in hypertensive than in normotensive subjects. The increase in pressure due to a cold pressor test caused a further increase in blood bcl-2 concentrations, in both hypertensive and normotensive subjects. Treatment of hypertensive patients with hypotensive drugs caused a reduction in bcl-2 concentrations, which was more marked after administration of lisinopril than of nifedipine. The results suggest that concentrations of bcl-2 are increased in patients with hypertension, which could be an important factor in cell proliferation underlying posthypertensive vascular remodeling. Moreover, lisinopril and nifedipine appear to be capable of reducing bcl-2 concentrations, with potentially beneficial effects on vascular modifications in patients with hypertension.",1999.0,0,0
