record_id,title,abstract,label_included,label_abstract_screening,duplicate_record_id
11,(S)Partners for Heart Health: a school-based program for enhancing physical activity and nutrition to promote cardiovascular health in 5th grade students,"BACKGROUND: The American Heart Association Position Statement on Cardiovascular Health Promotion in Public Schools encourages school-based interventions for the primary prevention of cardiovascular disease (CVD) through risk factor prevention or reduction in children with an emphasis on creating an environment that promotes healthy food choices and physical activity (PA). In an effort to address issues related to CVD risk factors including obesity in Michigan children, a multi-disciplinary team of Michigan State University (MSU) faculty, clinicians, and health profession students was formed to ""(S)partner"" with elementary school physical education (PE) teachers and MSU Extension staff to develop and implement a cost-effective, sustainable program aimed at CVD risk factor prevention and management for 5th grade students. This (S)partnership is intended to augment and improve the existing 5th grade PE, health and nutrition curriculum by achieving the following aims: 1) improve the students' knowledge, attitudes and confidence about nutrition, PA and heart health""; 2) increase the number of students achieving national recommendations for PA and nutrition;"" and 3) increase the number of students with a desirable CVD risk factor status based on national pediatric guidelines. Secondary aims include promoting school staff and parental support for heart health to help children achieve their goals and to provide experiential learning and service for MSU health profession students for academic credit. METHODS/DESIGN: This pilot effectiveness study was approved by the MSU IRB. At the beginning and the end of the school year students undergo a CVD risk factor assessment conducted by MSU medical students and graduate students. Key intervention components include eight lesson plans (conducted bi-monthly) designed to promote heart healthy nutrition and PA behaviors conducted by PE teachers with assistance from MSU undergraduate dietetic and kinesiology students (Spartners). The final 10 minutes of each lesson, MSU Spartners conduct small breakout/discussion groups with the 5th grade students. Additionally, each Spartner case manages/mentors two to three 5th grade students using a web-based goal setting and tracking protocol throughout the school year. DISCUSSION: This paper describes the rationale, development, and methods of the Spartners for Heart Health program. This is a multi-level intervention designed to promote heart healthy behaviors and prevent or manage CVD risk factors in children. We believe this will be a viable sustainable intervention that can be disseminated and adopted by other institutions with minimal cost by engaging college students as an integral part of the measurement and intervention teams.",0,0,
12,“Value for money”: use with care,"In this issue, Owens and colleagues (1) claim that the goal of policy should be to “preserve the delivery of interventions that do provide good value.” They also acknowledge that evaluating costs without considering value is problematic because it could lead to “inadvertent reductions in effective and efficient care.” Cutler and colleagues (2) have argued that an intervention that yields more benefits than costs is socially beneficial regardless of whether it increases spending. The American College of Physicians Clinical Guidelines Committee makes an important contribution to this policy debate by offering definitions and concepts to guide the search for high-value health care, but the “value-for-money” goal raises many questions that warrant further discussion.",0,0,
13,100 Apples Divided by 15 Red Herrings: A Cautionary Tale from the Mid-19th Century on Comparing Hospital Mortality Rates,"In 1863, Florence Nightingale argued that London hospitals were dangerous, especially compared with provincial facilities. She bolstered this contention with statistics published in William Fair's Registrar-General report, which claimed that 24 London hospitals had mortality rates exceeding 90%, whereas rural hospitals had an average mortality rate of 13%. Farr had calculated mortality rates by dividing the total number of patients who died throughout the year by the number of inpatients on a single day. When calculated as the annual number of deaths divided by the total number of inpatients during the year, the mortality rate of London hospitals was 10%. A raucous debate erupted in the London medical press over how best to calculate hospital mortality rates. Critics claimed that Farr had not adjusted for differences in severity of illness between urban and rural hospitals and that his figures would mislead the public. Farr and Nightingale, in turn, criticized the poor quality of hospital data. This story reinforces the need to understand the methodologic derivation of statistics intended to compare provider quality.",0,0,
14,1931 German guidelines on human experimentation,,0,0,
15,2013 ACC/AHA cholesterol treatment guideline: Paradigm shifts in managing atherosclerotic cardiovascular disease risk,"The 2013 American College of Cardiology/American Heart Association Guideline on the Treatment of Blood Cholesterol to Reduce Atherosclerotic Cardiovascular Risk in Adults represents a major shift from prior cholesterol management guidelines. The new guidelines include data from individual randomized trials as well as the most comprehensive meta-analyses, and introduce several major paradigm shifts, which include: aiming for ASCVD risk reduction as opposed to targeting LDL-C levels, advocating for the use of evidence-based doses of statins as first line therapy, and utilizing a new risk calculator and risk cut point to guide initiation of statin therapy. These major changes have created controversy and confusion among the medical community, with some clinicians hesitant to embrace the shift. We review the evidence that forms the basis for these major changes, compare them to other major lipid guidelines, and recommend an integrated approach to managing dyslipidemia to decrease atherosclerotic cardiovascular disease risk.",0,0,
16,2015 AAHA/AAFP pain management guidelines for dogs and cats,"RATIONALE: The robust advances in pain management for companion animals underlie the decision of the American Animal Hospital Association (AAHA) and American Association of Feline Practitioners (AAFP) to expand on the information provided in the 2007 AAHA/AAFP Pain Management Guidelines. The 2015 Guidelines summarize and offer a discriminating review of much of this new knowledge. RELEVANCE: Pain management is central to veterinary practice, alleviating pain, improving patient outcomes, and enhancing both quality of life and the veterinarian-client-patient relationship. These Guidelines support veterinarians in incorporating pain management into practice, improving patient care. APPROACHES: The management of pain requires a continuum of care that includes anticipation, early intervention, and evaluation of response on an individual patient basis. A team-oriented approach, including the owner, is essential for maximizing the recognition, prevention and treatment of pain in animals. EVIDENCE BASE: The Guidelines include both pharmacologic and non-pharmacologic modalities to manage pain""; they are evidence-based insofar as possible and otherwise represent a consensus of expert opinion. Behavioral changes are currently the principal indicator of pain and its course of improvement or progression, and the basis for recently validated pain scores. Post-surgical pain is eminently predictable but a strong body of evidence exists supporting strategies to mitigate adaptive as well as maladaptive forms. Chronic pain is dominated by degenerative joint disease (DJD), which is one of the most significant and under-diagnosed diseases of cats and dogs. DJD is ubiquitous, found in pets of all ages, and inevitably progresses over time;"" evidence-based strategies for management are established in dogs, and emerging in cats.",0,0,
17,5As Team obesity intervention in primary care: development and evaluation of shared decision-making weight management tools,"Despite several clinical practice guidelines, there remains a considerable gap in prevention and management of obesity in primary care. To address the need for changing provider behaviour, a randomized controlled trial with convergent mixed method evaluation, the 5As Team (5AsT) study, was conducted. As part of the 5AsT intervention, the 5AsT tool kit was developed. This paper describes the development process and evaluation of these tools. Tools were co-developed by the multidisciplinary research team and the 5AsT, which included registered nurses/nurse practitioners (n = 15), mental health workers (n = 7) and registered dieticians (n = 7), who were previously randomized to the 5AsT intervention group at a primary care network in Edmonton, Alberta, Canada. The 5AsT tool development occurred through a practice/implementation-oriented, need-based, iterative process during learning collaborative sessions of the 5AsT intervention. Feedback during tool development was received through field notes and final provider evaluation was carried out through anonymous questionnaires. Twelve tools were co-developed with 5AsT. All tools were evaluated as either 'most useful' or 'moderately useful' in primary care practice by the 5AsT. Four key findings during 5AsT tool development were the need for: tools that were adaptive, tools to facilitate interdisciplinary practice, tools to help patients understand realistic expectations for weight loss and shared decision-making tools for goal setting and relapse prevention. The 5AsT tools are primary care tools which extend the utility of the 5As of obesity management framework in clinical practice.",0,0,
18,6-PACK programme to decrease fall injuries in acute hospitals: cluster randomised controlled trial,"OBJECTIVE To evaluate the effect of the 6-PACK programme on falls and fall injuries in acute wards. DESIGN Cluster randomised controlled trial. SETTING Six Australian hospitals. PARTICIPANTS All patients admitted to 24 acute wards during the trial period. INTERVENTIONS Participating wards were randomly assigned to receive either the nurse led 6-PACK programme or usual care over 12 months. The 6-PACK programme included a fall risk tool and individualised use of one or more of six interventions: ""falls alert"" sign, supervision of patients in the bathroom, ensuring patients' walking aids are within reach, a toileting regimen, use of a low-low bed, and use of a bed/chair alarm. MAIN OUTCOME MEASURES The co-primary outcomes were falls and fall injuries per 1000 occupied bed days. RESULTS During the trial, 46 245 admissions to 16 medical and eight surgical wards occurred. As many people were admitted more than once, this represented 31 411 individual patients. Patients' characteristics and length of stay were similar for intervention and control wards. Use of 6-PACK programme components was higher on intervention wards than on control wards (incidence rate ratio 3.05, 95% confidence interval 2.14 to 4.34""; P<0.001). In all, 1831 falls and 613 fall injuries occurred, and the rates of falls (incidence rate ratio 1.04, 0.78 to 1.37; P=0.796) and fall injuries (0.96, 0.72 to 1.27;"" P=0.766) were similar in intervention and control wards. CONCLUSIONS Positive changes in falls prevention practice occurred following the introduction of the 6-PACK programme. However, no difference was seen in falls or fall injuries between groups. High quality evidence showing the effectiveness of falls prevention interventions in acute wards remains absent. Novel solutions to the problem of in-hospital falls are urgently needed. TRIAL REGISTRATION Australian New Zealand Clinical Trials Registry ACTRN12611000332921.",0,0,
19,"A before-after study using OncoDoc, a guideline-based decision support-system on breast cancer management: impact upon physician prescribing behaviour","Guideline-based decision support systems have been developed to influence the prescribing behaviour of clinicians, but they have not yet shown to increase physician compliance with best practices in routine. OncoDoc is a non-automated system that allows flexibility in guideline interpretation to obtain best patient-specific recommendations at the point of care. OncoDoc is applied to breast cancer management. We have experimented the system at the Institut Gustave Roussy with a before-after study in which treatment decisions for breast cancer patients were measured before and after using the system in order to evaluate its impact upon physicians' prescribing behaviour. After 4 months, 127 decisions were recorded. Physicians compliance with OncoDoc was significantly improved (p < 10(-4) ) to reach 85.03% after using the system. Comparison of initial and final decisions showed that physicians modified their prescription in 31% of the cases. Clinical trial accrual rate increased of 50%, though not statistically significant because estimated on small figures.",0,1,
20,A Behavioral-Economics View of Poverty,"Standard theorizing about poverty falls into  two camps. Social scientists regard the behav-  iors of the economically disadvantaged either as  calculated adaptations to prevailing circum-  stances or as emanating from a unique ""culture  of poverty,"" rife with deviant values. The first  camp presumes that people are highly rational,  that they hold coherent and justified beliefs and  pursue their goals effectively, without mistakes,  and with no need for help. The second camp  attributes to the poor a variety of psychological  and attitudinal short-fallings that render their  views often misguided and their choices falli-  ble, leaving them in need of paternalistic  guidance.  We propose a third view. The behavioral  patterns of the poor, we argue, may be neither  perfectly calculating nor especially deviant.  Rather, the poor may exhibit the same basic  weaknesses and biases as do people from other  walks of life, except that in poverty, with its  narrow margins for error, the same behaviors  often manifest themselves in more pronounced  ways and can lead to worse outcomes. In what  follows, we illustrate the kinds of insights that  might be gained from a behaviorally more real-  istic analysis of the economic conditions of the  poor, and we propose that alternative policies",0,0,
21,A behaviorally effective model for training of general health professionals by a rheumatology team,"This project evaluated a model for inservice arthritis education based in part on principles of applied behavior analysis. Thirty-seven public health nurses (PHN) from 10 rural midwestern counties received instruction about screening and management of patients with arthritis"";"" a random half of counties also received public and physician information interventions designed to increase arthritis referrals to community physicians under specific circumstances. In clinic interviews with patients of PHN showed modest, but significant, increases in 14 of 16 target behaviors attributable to inservice education. Because measured arthritis impact was low in this older adult population, physician referral rates were not affected by either intervention. This model illustrates generalizable behavior modification guidelines that are useful adjuncts to traditional procedures for development of professional arthritis education.",0,0,
22,"A case of osteomalacia, osteoporosis, and hypercalcaemia",,0,0,
23,A case of sarcoidosis with cryptococcal meningitis demonstrated at the Royal Postgraduate Medical School,A fatal case is described in a 30-yr-old army officer who had served abroad.,0,0,
24,"A case report of evaluating a large-scale health systems improvement project in an uncontrolled setting: a quality improvement initiative in KwaZulu-Natal, South Africa","Objective New approaches are needed to evaluate quality improvement (QI) within large-scale public health efforts. This case report details challenges to large-scale QI evaluation, and proposes solutions relying on adaptive study design.  Study design We used two sequential evaluative methods to study a QI effort to improve delivery of HIV preventive care in public health facilities in three districts in KwaZulu-Natal, South Africa, over a 3-year period. We initially used a cluster randomised controlled trial (RCT) design.  Principal findings During the RCT study period, tensions arose between intervention implementation and evaluation design due to loss of integrity of the randomisation unit over time, pressure to implement changes across the randomisation unit boundaries, and use of administrative rather than functional structures for the randomisation. In response to this loss of design integrity, we switched to a more flexible intervention design and a mixed-methods quasiexperimental evaluation relying on both a qualitative analysis and an interrupted time series quantitative analysis.  Conclusions Cluster RCT designs may not be optimal for evaluating complex interventions to improve implementation in uncontrolled ‘real world’ settings. More flexible, context-sensitive evaluation designs offer a better balance of the need to adjust the intervention during the evaluation to meet implementation challenges while providing the data required to evaluate effectiveness. Our case study involved HIV care in a resource-limited setting, but these issues likely apply to complex improvement interventions in other settings.",0,0,
25,A centralized cardiovascular risk service to improve guideline adherence in private primary care offices,"BACKGROUND: Many large health systems now employ clinical pharmacists in team-based care to assist patients and physicians with management of cardiovascular (CV) diseases. However, small private offices often lack the resources to hire a clinical pharmacist for their office. The purpose of this study is to evaluate whether a centralized, web-based CV risk service (CVRS) managed by clinical pharmacists will improve guideline adherence in primary care medical offices in rural and small communities. METHODS: This study is a cluster randomized prospective trial in 12 primary care offices. Medical offices were randomized to either the CVRS intervention or usual care. The intervention will last for 12 months and all subjects will have research visits at baseline and 12 months. Primary outcomes will include adherence to treatment guidelines and control of key CV risk factors. Data will also be abstracted from the medical record at 30 months to determine if the intervention effect is sustained after it is discontinued. CONCLUSIONS: This study will enroll subjects through 2015 and results will be available in 2018. This study will provide information on whether a distant, centralized CV risk service can improve guideline adherence in medical offices that lack the resources to employ clinical pharmacists.",0,1,
26,A clinical decision support system for prevention of venous thromboembolism: effect on physician behavior,"CONTEXT: Computer-based clinical decision support systems (CDSSs) have been promoted for their potential to improve quality of health care. However, given the limited range of clinical settings in which they have been tested, such systems must be evaluated rigorously before widespread introduction into clinical practice. OBJECTIVE: To determine whether presentation of venous thromboembolism prophylaxis guidelines using a CDSS increases the proportion of appropriate clinical practice decisions made. DESIGN: Time-series study conducted between December 1997 and July 1999. SETTING: Orthopedic surgery department of a teaching hospital in Paris, France. PARTICIPANTS: A total of 1971 patients who underwent orthopedic surgery. INTERVENTION: A CDSS designed to provide immediate information pertaining to venous thromboembolism prevention among surgical patients was integrated into daily medical practice during three 10-week intervention periods, alternated with four 10-week control periods, with a 4-week washout between each period. MAIN OUTCOME MEASURE: Proportion of appropriate prescriptions ordered for anticoagulation, according to preestablished clinical guidelines, during intervention vs control periods. RESULTS: Physicians complied with guidelines in 82.8% (95% confidence interval [CI], 77.6%-87.1%) of cases during control periods and in 94.9% (95% CI, 92.5%-96.6%) of cases during intervention periods. During each intervention period, the appropriateness of prescription increased significantly (P<.001). Each time the CDSS was removed, physician practice reverted to that observed before initiation of the intervention. The relative risk of inappropriate practice decisions during control periods vs intervention periods was 3.8 (95% CI, 2.7-5.4). CONCLUSIONS: In our study, implementation of clinical guidelines for venous thromboembolism prophylaxis through a CDSS used routinely in an orthopedic surgery department and integrated into the hospital information system changed physician behavior and improved compliance with guidelines. JAMA. 2000"";""283:2816-2821",1,1,
27,A clinical trial of a knowledge-based medical record,"To meet the needs of primary care physicians caring for patients with HIV infection, we developed a knowledge-based medical record to allow the on-line patient record to play an active role in the care process. These programs integrate the on-line patient record, rule-based decision support, and full-text information retrieval into a clinical workstation for the practicing clinician. To determine whether use of a knowledge-based medical record was associated with more rapid and complete adherence to practice guidelines and improved quality of care, we performed a controlled clinical trial among physicians and nurse practitioners caring for 349 patients infected with the human immuno-deficiency virus (HIV)"";"" 191 patients were treated by 65 physicians and nurse practitioners assigned to the intervention group, and 158 patients were treated by 61 physicians and nurse practitioners assigned to the control group. During the 18-month study period, the computer generated 303 alerts in the intervention group and 388 in the control group. The median response time of clinicians to these alerts was 11 days in the intervention group and 52 days in the control group (PJJ0.0001, log-rank test). During the study, the computer generated 432 primary care reminders for the intervention group and 360 reminders for the control group. The median response time of clinicians to these alerts was 114 days in the intervention group and more than 500 days in the control group (PJJ0.0001, log-rank test). Of the 191 patients in the intervention group, 67 (35%) had one or more hospitalizations, compared with 70 (44%) of the 158 patients in the control group (PJ=J0.04, Wilcoxon test stratified for initial CD4 count). There was no difference in survival between the intervention and control groups (P = 0.18, log-rank test). We conclude that our clinical workstation significantly changed physicians' behavior in terms of their response to alerts regarding primary care interventions and that these interventions have led to fewer patients with HIV infection being admitted to the hospital.",0,1,
28,A clinically integrated post-graduate training programme in evidence-based medicine versus 'no intervention' for improving disability evaluations: a cluster randomised clinical trial,"BACKGROUND: Although several studies have shown that teaching EBM is effective in improving knowledge, at present, there is no convincing evidence that teaching EBM also changes professional behaviour in practice. Therefore, the primary aim of this study was to evaluate the effectiveness of a clinically integrated post-graduate training programme in EBM on evidence-based disability evaluation. METHODS AND FINDINGS: In a cluster randomised controlled trial, fifty-four case-based learning groups consisting of 132 physicians and 1680 patients were randomly assigned to the intervention or control groups. A clinically integrated, post-graduate, 5-day training programme in evidence-based medicine, consisting of (home) assignments, peer teaching, interactive training in searching databases, lectures and brainstorming sessions was provided to the intervention group. The control group received no training. The primary outcome was evidence-based disability evaluation, as indicated by the frequency in use of evidence of sufficient quality in disability evaluation reports. There are no general EBM behaviour outcome measures available. Therefore, we followed general guidelines for constructing performance indicators and defined an a priori cut-off for determination of sufficient quality as recommended for evaluating EB training. Physicians trained in EBM performed more evidence-based disability evaluations compared to physicians in the control group (difference in absolute proportion 9.7%, 95% CI 3.5 to 15.9). The primary outcome differences between groups remained significant after both cluster-adjusted analysis and additional sensitivity analyses accounting for subjects lost to follow-up. CONCLUSIONS: A EBM programme successfully improved the use of evidence in a non-hospital based medical specialty. Our findings support the general recommendations to use multiple educational methods to change physician behaviour. In addition, it appeared important that the professional context of the intervention was very supportive in the sense that searches in databases, using and applying guidelines and other forms of evidence are considered standard practice and are encouraged by colleagues and management.",0,0,
29,A clinic-based mammography intervention targeting inner-city women.,"OBJECTIVE: The objective was to evaluate the effect of a clinic-based intervention program on mammography use by inner-city women.  DESIGN: A randomized controlled trial employing firm system methodology was conducted.  SETTING: The study setting was a general internal medicine clinic in the university-affiliated county hospital serving metropolitan Seattle.  PARTICIPANTS: Women aged 50 to 74 years with at least one routine clinic appointment (when they were due for mammography) during the study period were enrolled in the trial (n = 314).  LNTERVENTIONS: The intervention program emphasized nursing involvement and included physician education, provider prompts, use of audiovisual and printed patient education materials, transportation assistance in the form of bus passes, pre appointment telephone or postcard reminders, and rescheduling assistance. Control firm women received usual care.  MEASUREMENTS AND MAIN RESULTS: Mammography completion within 8 weeks of clinic visits was significantly higher among intervention (49%) than control (22%) firm women (p < .001). These effects persisted after adjustment for potential confounding by age, race, medical insurance coverage, and previous mammography experience at the hospital (odds ratio 3.5: 95% confidence interval 1.9. 6.5). The intervention effect was modified by type of insurance coverage as well as prior mammography history. Process evaluation indicated that bus passes and rescheduling efforts did not contribute to the observed increases in screening participation.  CONCLUSIONS: A clinic-based program incorporating physician education, provider prompts, patient education materials, and appointment reminders and emphasizing nursing involvement can facilitate adherence to breast cancer screening guidelines among inner-city women.",0,1,
30,A cluster randomised controlled trial of the clinical and cost-effectiveness of a 'whole systems' model of self-management support for the management of long- term conditions in primary care: trial protocol,"Background Patients with long-term conditions are increasingly the focus of quality improvement activities in health services to reduce the impact of these conditions on quality of life and to reduce the burden on care utilisation. There is significant interest in the potential for self-management support to improve health and reduce utilisation in these patient populations, but little consensus concerning the optimal model that would best provide such support. We describe the implementation and evaluation of self-management support through an evidence-based 'whole systems' model involving patient support, training for primary care teams, and service re-organisation, all integrated into routine delivery within primary care.  Methods The evaluation involves a large-scale, multi-site study of the implementation, effectiveness, and cost-effectiveness of this model of self-management support using a cluster randomised controlled trial in patients with three long-term conditions of diabetes, chronic obstructive pulmonary disease (COPD), and irritable bowel syndrome (IBS). The outcome measures include healthcare utilisation and quality of life. We describe the methods of the cluster randomised trial.  Discussion If the 'whole systems' model proves effective and cost-effective, it will provide decision-makers with a model for the delivery of self-management support for populations with long-term conditions that can be implemented widely to maximise 'reach' across the wider patient population.",0,0,
