title,abstract,label
Asian linkages in children's writing and writing for children,,0
Humpty Dumpty and the nature of poetic understanding,,0
"""Little Malcolm sat in a corner...""",,0
Zippel: The Little Keyhole Ghost.,,0
"Car, Car, Truck, Jeep.",,0
Over the Hills and Far Away.,,0
Government support for children's early language skills.,,0
Sound-spelling consistency in adults' orthographic learning,,0
Phonological skills and ability to perceive auditorily the structure of a word at the level of a single phoneme at ages 2–6.,"The present study is the first part of a longitudinal research project investigating whether children become more aware of phonemes or rhyming when they learn letters or letter sounds or even begin to read, and if so how. For the present paper, the phonological awareness of young children aged 2–6 years was analyzed, particularly their auditory knowledge of the phonemic structure of words as well as their knowledge of rhyme. Altogether, 110 children from Finnish day-care centres performed seven phonological tasks and a vocabulary size test. The results showed a clear age-dependent improvement in phonological awareness. Blending words of phonemes, separating rhyming words from each other and correcting words by substituting the wrong phoneme with the right one were found to be easier tasks for 2- to 5-year-old children than producing rhymes, twisting words or detecting an initial letter. [ABSTRACT FROM PUBLISHER]
Copyright of Journal of Early Childhood Literacy is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Predicting growth of nonword reading and letter-sound knowledge following rime-and phoneme-based teaching,,0
The effects of rime- and phoneme-based teaching delivered by Learning Support Assistants,,0
Foundations of phonological awareness in pre-school children with cerebral palsy: the impact of intellectual disability,,0
"Orthographic influences, vocabulary development, and phonological awareness in deaf children who use cochlear implants",,0
"Effects of rhyming, vocabulary and phonemic awareness instruction on phoneme awareness",,1
"From nursery rhymes to TV documentaries: approaches to the teaching of ""landeskunde"" at elementary and intermediate level",,0
Recognition of the familiar words of nursery rhymes by handicapped and non-handicapped infants,,0
What Are Little Girls Made of? Nursery Rhymes for Feminist Times.,,0
Accelerating early language development with multi-sensory training,"; This paper reports the outcome of a multi-sensory intervention on infant language skills. A programme titled ‘Rhyming Game and Exercise Club’, which included kinaesthetic–tactile mother–child rhyming games performed in natural joint attention situations, was intended to accelerate Finnish six- to eight-month-old infants’ language development. The participants were 20 infants (10 training group children and 10 control children). Their cognitive skills and both receptive and expressive language skills (Bayley Scales III) were tested three times (pre-, post- and follow-up assessments). The groups differed significantly in receptive language skills at the baseline, in favour of the controls. The results showed that the performance of the training group children in cognition and receptive language increased after the intervention. The training group girls showed more acceleration in receptive language skills than the boys. The results suggested that training consisting of rhyming games and kinaesthetic-tactile stimulation is a useful tool for accelerating early language development and for enriching mother–child interaction",0
Rhyme and reason for nurseries,"; Argues for greater contributions from higher education students to their costs with a view to generating ""new"" money to fund improved nursery and primary school education and tackle underachievement",0
Phonological awareness and emerging reading skills of two- to five-year-old children.,"This study, conducted in Finnish private and Montessori child care centres, aimed at investigating the development of the phonological awareness (PA) of two- to five-year-old preschool children within a six-month period in relation to emerging letter knowledge and reading skills. The children (N = 72) performed five phonological tasks and a vocabulary test, a letter knowledge test and a reading skills test twice; in the beginning, when knowing no letters, and at the end of the study. The results show that the children's performance in the different phonological tasks improved over a six-month period. Detecting word structure or blending phonemes were easier than producing rhymes or twisting. The children who had learned to recognize letters performed better in phonological tasks than the children who had not learned any letters, but children able to read precociously exceeded all. Our results appear to indicate that learning letters does not require previous PA ability but affects PA. [ABSTRACT FROM PUBLISHER]
Copyright of Early Child Development & Care is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Phonological skills and ability to perceive auditorily the structure of a word at the level of a single phoneme at ages 2–6.,"The present study is the first part of a longitudinal research project investigating whether children become more aware of phonemes or rhyming when they learn letters or letter sounds or even begin to read, and if so how. For the present paper, the phonological awareness of young children aged 2–6 years was analyzed, particularly their auditory knowledge of the phonemic structure of words as well as their knowledge of rhyme. Altogether, 110 children from Finnish day-care centres performed seven phonological tasks and a vocabulary size test. The results showed a clear age-dependent improvement in phonological awareness. Blending words of phonemes, separating rhyming words from each other and correcting words by substituting the wrong phoneme with the right one were found to be easier tasks for 2- to 5-year-old children than producing rhymes, twisting words or detecting an initial letter. [ABSTRACT FROM AUTHOR]
Copyright of Journal of Early Childhood Literacy is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Do Chinese- and English-speaking preschoolers think differently about language?,"Metalinguistic awareness is the ability to identify, reflect upon, and manipulate linguistic units. It plays a critical role in reading development. The present study investigated Chinese- and English-speaking preschoolers’ metalinguistic awareness development and the role of cognitive and linguistic abilities in its development. Forty-two Chinese-speaking and 36 English-speaking monolingual children completed a series of metalinguistic awareness, false belief, inhibitory control, and receptive vocabulary tasks. The results revealed distinct pathways for the two language groups. English speakers had a more advanced level of rhyme awareness. Chinese speakers developed homonym understanding faster during the preschool years. Inhibitory control was more important for Chinese speakers to develop synonym and homonym understanding, whereas receptive vocabulary was crucial for English speakers to develop rhyme awareness. These differences may be attributable to the characteristics of the Chinese and English languages, as well as the patterns of cognitive development in the two populations. [ABSTRACT FROM AUTHOR]
Copyright of First Language is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Children perceive speech onsets by ear and eye.,"Adults use vision to perceive low-fidelity speech; yet how children acquire this ability is not well understood. The literature indicates that children show reduced sensitivity to visual speech from kindergarten to adolescence. We hypothesized that this pattern reflects the effects of complex tasks and a growth period with harder-to-utilize cognitive resources, not lack of sensitivity. We investigated sensitivity to visual speech in children via the phonological priming produced by low-fidelity (non-intact onset) auditory speech presented audiovisually (see dynamic face articulate consonant/rhyme b/ag; hear non-intact onset/rhyme: –b/ag) vs. auditorily (see still face; hear exactly same auditory input). Audiovisual speech produced greater priming from four to fourteen years, indicating that visual speech filled in the non-intact auditory onsets. The influence of visual speech depended uniquely on phonology and speechreading. Children – like adults – perceive speech onsets multimodally. Findings are critical for incorporating visual speech into developmental theories of speech perception. [ABSTRACT FROM PUBLISHER]
Copyright of Journal of Child Language is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
"Developing multimodal communicative competence: Insights from ""semantic gravity"" and the Knowledge Process framework.","This article explores how EFL students' multimodal communicative competence can benefit from a pedagogical design, informed by ""semantic gravity"" (i.e. the extent to which meaning is dependent on a context) and the Knowledge Process framework (i.e. epistemic moves of experiencing, conceptualizing, analyzing, and applying). 68 Chinese EFL students were enrolled in a workshop-style course on becoming effective communicators. The study focused on a thematic unit about multimodal communication, which included two 90-min lessons and a take-home assignment (i.e. an essay on four subtitled versions of a nursery rhyme). The students were engaged in semantic waves between concrete multimodal products/practices and a multimodal metalanguage and pedagogical weaving between experiencing, conceptualizing, analyzing, and applying. Thematic analysis of the students' essays showed that the students were able to (a) analyze the metafunctions in the four subtitled videos; (b) analyze modal contribution and intersemiotic complementarity; (c) evaluate the subtitles from a semiotic perspective; (d) offer ideas to recreate the subtitled nursery rhyme as a multimodal ensemble; and (e) recognize the multimodal nature of communication. Implications are drawn for EFL teachers to use ""semantic gravity"" and the Knowledge Process framework to move pedagogies in the direction of multimodality. [ABSTRACT FROM AUTHOR]
Copyright of System is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Pilot study evaluating the impact of dialogic reading and shared reading at transition to primary school: early literacy skills and parental attitudes.,"Previous studies have demonstrated the positive impact of shared reading (SR) and dialogic reading (DR) on young children's language and literacy development. This exploratory study compared the relative impact of parental DR and shared reading interventions on 4-year-old children's early literacy skills and parental attitudes to reading prior to and following school entry. Parents were trained using a self-instruction training DVD. The children's rhyme awareness, word reading, concepts about print and writing vocabulary were assessed before and after 6 weeks over the summer period and again after one term in school. Four illustrative case studies are presented, which reveal the differential impact of the interventions on the families who participated. Findings indicated that DR had a positive impact on children's enjoyment of reading, concepts about print, parent-child reading behaviours and parental attitudes to joint storybook reading. The children who experienced shared-book reading during the intervention also demonstrated improvements in word reading. There were no changes in rhyme awareness or writing vocabulary for either group. Changes in print concept awareness were not maintained at follow-up, but improvements in writing vocabulary and word reading scores were noted. The reasons for this are discussed with reference to the formal literacy instruction the children received during their first academic term. [ABSTRACT FROM AUTHOR]
Copyright of Literacy is the property of Wiley-Blackwell and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Preserving Guam's culture with culturally responsive children's stories.,"Regardless of where schools are located, teachers face the challenge of teaching and mentoring children, not only in academic achievement but in social emotional development. When faced with challenges, young children are especially vulnerable because they lack the life experience and developmental maturity to adequately cope. Relying on the lead author's personal experiences in leading Guam's university teacher preparation program and in developing an early childhood education literacy program, this article demonstrates how teachers adapted popular Mother Goose nursery rhymes, tales, and local indigenous stories, making stories relevant to the local culture in Guam. Stories, specifically aligned with local cultures and traditions, are recommended as an intervention strategy to strengthen children's emerging literacy skills and to strengthen children's self-identity and resilience. In particular, offering opportunities for students to see oneself and one's culture in children's literature builds cultural esteem and a sense of community. [ABSTRACT FROM AUTHOR]
Copyright of School Psychology International is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
"Less Generation Z, more Jumanji.","Welcome to the second issue of the journal for 2021. As we enter what will hopefully be the final chapter of the current pandemic (although we seem to recall that we said exactly the same thing back in the last DATE editorial four months ago), this issue provides opportunities for sharing recent research alongside some speculation about how things might change, what lessons have been learned, and what future research may focus on. The issue includes five research articles, a reflection piece and a book review. The research articles fall broadly into two categories with the first two reporting on research into the implementation on digital technologies in design and technology classroom activities whilst the final three articles are more focused on pedagogy, with the final two articles focused on undergraduate industrial and product design learning and teaching approaches. The last year has shown us what living through a global pandemic is really like, and surprise, surprise it's not much like what Hollywood predicted. Gun toting virus infected monkeys (Dawn of the Planet of the Apes, 2014) and a zombie dodging Brad Pitt (World War Z, 2013) are nowhere to be seen, although London did look reminiscent of a scene straight from Danny Boyle's 2002 film 28 Days Later for most of 2020. What has been most people's reality, especially for those of us working in education, has been a year spent learning and applying new learning and teaching technologies, fighting for limited resources, and dealing with the inevitable and very real human issues, both our own and those of others around us. In this issue's reflection piece Deborah Winn compares the difficulties faced by teachers of practical subjects in the last year or so as like being in the rope bridge scene in the 2019 film Jumanji: The Next Level, having to move forward at all costs while being chased by psychotic monkeys. We are sure that we can all empathise with her. So while Hollywood may have got it wrong in their many depictions of post pandemic scenarios, we can perhaps all agree that there are some movie scenes that seem to fit the bill quite well, hence the title of this editorial (it does rhyme if you say it in an American accent, which we are sure you have all have done in your heads). Hopefully this issue will provide us with some food for thought and allow us to reflect on our own educational practices as we consider how best to approach the next stage of this saga. The first research article focuses on the use of augmented reality (AR) in practical classroom situations. In Using augmented reality (AR) in vocational education programs to teach occupational health and safety (OHS), Renk Hülagü and Önder Erkarslan from Izmir Institute of Technology, Turkey present research from a study into the teaching of occupational health and safety (OHS) in Turkey within secondary schools and universities, with a view to designing a new system of teaching OHS using AR to raise awareness of risk, make students more cautious and appreciative of the task at hand, and therefore hopefully reduce accidents. They discuss the need for students to experience risk in order to develop safe working methods in workshop activities and an appreciation of precautions and safety measures. The case study experiments. [ABSTRACT FROM AUTHOR]
Copyright of Design & Technology Education is the property of Design & Technology Association and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
"Pie, fry, why: Language play in 3- to 5-year-old children.","This study examined the relationship between four common types of language play and their correlations with the verbal and social abilities of 3- to 5-year-old children. While observation has shown that children this age produce a range of play, research has not yet examined whether play is a measurable skill connected to preschoolers’ language development. In this study, we designed four language play elicitation games involving creating rhymes, word switching, word creation, and hyperbolic play. Children’s ability to produce novel play for each game was measured, and classroom teachers filled out assessments of children’s verbal and peer interaction skills. Results indicated that while children’s peer interaction scores were not related to their play scores, verbal skills scores were highly correlated with language play scores, highlighting that for preschoolers the ability to produce common types of language play may be a distinctly verbal skill. [ABSTRACT FROM AUTHOR]
Copyright of Journal of Early Childhood Research is the property of Sage Publications, Ltd. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
Exploring physically active play in the early childhood curriculum from a complexity thinking perspective.,"This paper conceptualizes the teaching and learning of physically active play (PAP) in the early childhood curriculum. The conceptualization emerges from ‘doing complexivist bricolage’ and draws on complexity thinking features and concepts to position teaching and learning in PAP as children and teachers together exploring three different and coupled facets: fundamental movement patterns, group movement activities and group games. The three facets are different and coupled to highlight that they can be viewed as simultaneously separate and inseparable. This allows us to make sense of each facet and remind us that they are mutually influencing. Exploring fundamental movement patterns means focusing on exploring patterns and variations associated with one or more particular movement skills and balancing skills, and doing so in the context of individual activities, group movement activities or games. Exploring group movement activities involve children moving with their bodies as they engage in rhymes, songs and stories, thereby enabling children to develop both fundamental movement skills and literacy skills. Engaging in group games focuses on supporting children to learn the nature of games as socially constructed activities with some explicit rules agreed upon by players. I position teaching and learning as acts of joint exploration that embrace diverse learners (children and teachers) and different learning outcomes for individuals. In this joint exploration, the teacher plays two important roles: (1) fostering children’s and their own confidence and competence in PAP and (2) creating conditions that simultaneously constrain and enable as they follow, generate and sustain children’s interests in their explorations together. This approach enables teachers to respond to children’s interests and co-create learning situations with children in ways that are emergent and meaningful to all. When used in conjunction with mandated curriculum frameworks, it can open up possibilities for curriculum, teaching and learning for children and teachers. [ABSTRACT FROM AUTHOR]
Copyright of Sport, Education & Society is the property of Routledge and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",0
English [June 7 1996],,0
Is One Ear Good Enough? Unilateral Hearing Loss and Preschoolers' Comprehension of the English Plural.,"Purpose: The plural is one of the first grammatical morphemes acquired by English-speaking children with normal hearing (NH). Yet, those with hearing loss show delays in both plural comprehension and production. However, little is known about the effects of unilateral hearing loss (UHL) on children's acquisition of the plural, where children's ability to perceive fricatives (e.g., the /s/ in cats) can be compromised. This study therefore tested whether children with UHL were able to identify the grammatical number of newly heard words, both singular and plural. Method: Eleven 3- to 5-year-olds with UHL participated in a novel word two-alternative forced choice task presented on an iPad. Their results were compared to those of 129 NH 3- to 5-year-olds. During the task, children had to choose whether an auditorily presented novel word was singular (e.g., tep, koss) or plural (e.g., teps, kosses) by touching the appropriate novel picture. Results: Like their NH peers, children with UHL demonstrated comprehension of novel singulars. However, they were significantly less accurate at identifying novel plurals, with performance at chance. However, there were signs that their ability to identify novel plurals may improve with age. Conclusion: While comparable to their NH peers at identifying novel singulars, these results suggest that young children with UHL do not yet have a robust representation of plural morphology, particularly on words they have not encountered before. [ABSTRACT FROM AUTHOR]",0
Persistent Neurobehavioral Markers of Developmental Morphosyntax Errors in Adults.,"Purpose: Child language acquisition is marked by an optional infinitive period (ages 2-4 years) during which children use nonfinite (infinitival) verb forms and finite verb forms interchangeably in grammatical contexts that require finite forms. In English, children's errors include omissions of past tense /--ed/ and 3rd-person singular /--s/. This language acquisition period typically ends by the age of 4 years, but it persists in children with language impairments. It is unknown if adults still process optional infinitives differently than other kinds of morphosyntax errors. Method: We compared behavior and functional brain activation during grammaticality judgments across sentences with developmental optional infinitive tense/agreement errors (""Yesterday I play the song""), nondevelopmental agreement errors (""He am tall"") that do not occur in typical child language acquisition, and grammatically correct sentences. Results: Adults (N = 25) were significantly slower and less accurate in judging sentences with developmental errors relative to other sentences. Sentences with developmental errors yielded greater activation in bilateral inferior frontal gyri relative to nondevelopmental error sentences in both auditory and visual modalities. Conclusions: These findings suggest that the heightened computational demands for finiteness extend well beyond early childhood and continue to exert their influence on grammatical mental and brain function in adulthood. [ABSTRACT FROM AUTHOR]",0
Contributors.,"B Theresa Schenker b (Ph.D., Michigan State University) is Senior Lector II and the Language Program Director of German at Yale University where she oversees the graduate student pedagogy training and teaches at all levels of the undergraduate German curriculum. B Laurie Clark b (M.A., University of Arizona) is a graduate from the University of Arizona's German Studies program and has previously taught German at Canyon del Oro High School. B Chantelle Warner b (Ph.D., University of California at Berkeley) is Associate Professor of German Studies and Second Language Acquisition and Teaching at the University of Arizona, where she also co-directs the Center for Educational Resources in Culture, Language and Literacy (CERCLL), a National Language Resource Center. [Extracted from the article]",0
Learning a second language: Can music aptitude or music training have a role?,"Some studies suggest that children receiving music training perform better than other children when learning a second language (L2). In contrast, other studies indicate that music aptitude correlates positively with L2 learning. The relationship between music (training or aptitude) and L2 is stronger for skills that are based upon perceptual-auditory skills (e.g., dictation) than for skills that are not based upon perceptual-auditory skills (e.g., grammar). We investigated the relationship between music training, music aptitude, and L2 learning in Italian students between 11 and 15 years old. We recruited students who were either receiving music training or not. The music aptitude of all students was assessed with a dedicated test (PROMS). Participants completed an English grammar and an English dictation task. Music training (and not aptitude) explained performance in both dictation and grammar, although it was significant only in the dictation; in other words, students who were receiving music training performed significantly better in the dictation than students who were not. [ABSTRACT FROM AUTHOR]",0
New evidence of a rhythmic priming effect that enhances grammaticality judgments in children.,"Musical rhythm and the grammatical structure of language share a surprising number of characteristics that may be intrinsically related in child development. The current study aimed to understand the potential influence of musical rhythmic priming on subsequent spoken grammar task performance in children with typical development who were native speakers of English. Participants (ages 5–8 years) listened to rhythmically regular and irregular musical sequences (within-participants design) followed by blocks of grammatically correct and incorrect sentences upon which they were asked to perform a grammaticality judgment task. Rhythmically regular musical sequences improved performance in grammaticality judgment compared with rhythmically irregular musical sequences. No such effect of rhythmic priming was found in two nonlinguistic control tasks, suggesting a neural overlap between rhythm processing and mechanisms recruited during grammar processing. These findings build on previous research investigating the effect of rhythmic priming by extending the paradigm to a different language, testing a younger population, and employing nonlanguage control tasks. These findings of an immediate influence of rhythm on grammar states (temporarily augmented grammaticality judgment performance) also converge with previous findings of associations between rhythm and grammar traits (stable generalized grammar abilities) in children. Taken together, the results of this study provide additional evidence for shared neural processing for language and music and warrant future investigations of potentially beneficial effects of innovative musical material on language processing. [ABSTRACT FROM AUTHOR]",0
Songs vs. stories: impact of input sources on ESL vocabulary acquisition by preliterate children.,"Research in second language acquisition has paid little attention to preliterate children learning a language which is absent from their environment outside the language class. This study examines the acquisition of English words by 24 French-speaking children aged 35–59 months, who were introduced to 57 words, embedded in stories and songs. Four stories and four songs were randomly spread across four consecutive weekly workshops consisting of play-based pedagogical activities. The impact of the input source, number of encounters with each lexical item, animacy as a feature of the lexical items, and first language (L1) lexicon size was examined. Recall of target words was assessed through the selection between four images after hearing the word, and L1 lexicon was assessed through the Peabody test. Results show significantly higher recall for animate concepts, while no difference in recall was found in relation to input source (words in songs vs. stories) or L1 lexicon size. Results also stress the need for a possibly higher number of encounters than that normally found for adults in order to achieve significant recall. [ABSTRACT FROM AUTHOR]",1
Comprehension of Written Grammar Test: Reliability and Known-Groups Validity Study With Hearing and Deaf and Hard-of-Hearing Students.,"The aim of the current study was to gather validation evidence for the Comprehension of Written Grammar (CWG; Easterbrooks, 2010) receptive test of 26 grammatical structures of English print for use with children who are deaf and hard of hearing (DHH). Reliability and validity data were collected for 98 participants (49 DHH and 49 hearing) in Grades 2-6. The objectives were to: (a) examine 4-week test-retest reliability data; and (b) provide evidence of known-groups validity by examining expected differences between the groups on the CWG vocabulary pretest and main test, as well as selected structures. Results indicated excellent test-retest reliability estimates for CWG test scores. DHH participants performed statistically significantly lower on the CWG vocabulary pretest and main test than the hearing participants. Significantly lower performance by DHH participants on most expected grammatical structures (e.g., basic sentence patterns, auxiliary ""be"" singular/plural forms, tense, comparatives, and complementation) also provided known groups evidence. Overall, the findings of this study showed strong evidence of the reliability of scores and known group-based validity of inferences made from the CWG. [ABSTRACT FROM AUTHOR]",0
The Role of Frequency in Learning Morphophonological Alternations: Implications for Children With Specific Language Impairment.,"Purpose: The aim of this article was to explore how the type of allomorph (e.g., past tense buzz[d] vs. nod[əd]) influences the ability to perceive and produce grammatical morphemes in children with typical development and with specific language impairment (SLI). Method: The participants were monolingual Australian English-speaking children. The SLI group included 13 participants (mean age = 5;7 [years;months]); the control group included 19 children with typical development (mean age = 5;4). Both groups performed a grammaticality judgment and elicited production task with the same set of nonce verbs in thirdperson singular and past tense forms. Results: Five-year-old children are still learning to generalize morphophonological patterns to novel verbs, and syllabic /əz/ and /əd/ allomorphs are significantly more challenging to produce, particularly for the SLI group. The greater phonetic content of these syllabic forms did not enhance perception. Conclusions: Acquisition of morphophonological patterns involving low-frequency allomorphs is still underway in 5-year-old children with typical development, and it is even more protracted in SLI populations, despite these patterns being highly predictable. Children with SLI will therefore benefit from targeted intervention with low-frequency allomorphs. [ABSTRACT FROM AUTHOR]",0
Influences of Phonological Context on Tense Marking in Spanish-English Dual Language Learners.,"Purpose: The emergence of tense-morpheme marking during language acquisition is highly variable, which confounds the use of tense marking as a diagnostic indicator of language impairment in linguistically diverse populations. In this study, we seek to better understand tense-marking patterns in young bilingual children by comparing phonological influences on marking of 2 wordfinal tense morphemes. Method: In spontaneous connected speech samples from 10 Spanish-English dual language learners aged 56-66 months (M = 61.7, SD = 3.4), we examined marking rates of past tense -ed and third person singular -s morphemes in different environments, using multiple measures of phonological context. Results: Both morphemes were found to exhibit notably contrastive marking patterns in some contexts. Each was most sensitive to a different combination of phonological influences in the verb stem and the following word. Conclusions: These findings extend existing evidence from monolingual speakers for the influence of wordfinal phonological context on morpheme production to a bilingual population. Further, novel findings not yet attested in previous research support an expanded consideration of phonological context in clinical decision making and future research related to wordfinal morphology. [ABSTRACT FROM AUTHOR]",0
