record_id,title,abstract,authors,year,label_included
11,"10-(Alkylamino)-4H-thieno[3,4-b][1,5]benzodiazepines. A novel class of potential neuroleptic agents","An investigation of the structural requirements for CNS activity of the title compounds was undertaken. A synthesis of the precursor dihydro-10H-thieno[3,4-b][1,5]benzodiazepin-10-ones was achieved and three routes for their conversion to the title compounds were developed. The compounds were tested for neuroleptic activity by means of the blockade or d-amphetamine lethality in aggregated mice and/or effects on locomotor activity in rats. Antidepressant activity was examined using inhibition of tetrabenazine-induced depression in mice. Most of the compounds were found to be potent neuroleptic agents with several exhibiting additional antidepressant activity","J. B. Press, C. M. Hofmann, N. H. Eudy, W. J. Fanshawe, I. P. Day, E. N. Greenblatt and S. R. Safir",1979,1
12,Using chronic social stress to model postpartum depression in lactating rodents,"Exposure to chronic stress is a reliable predictor of depressive disorders, and social stress is a common ethologically relevant stressor in both animals and humans. However, many animal models of depression were developed in males and are not applicable or effective in studies of postpartum females. Recent studies have reported significant effects of chronic social stress during lactation, an ethologically relevant and effective stressor, on maternal behavior, growth, and behavioral neuroendocrinology. This manuscript will describe this chronic social stress paradigm using repeated exposure of a lactating dam to a novel male intruder, and the assessment of the behavioral, physiological, and neuroendocrine effects of this model. Chronic social stress (CSS) is a valuable model for studying the effects of stress on the behavior and physiology of the dam as well as her offspring and future generations. The exposure of pups to CSS can also be used as an early life stress that has long term effects on behavior, physiology, and neuroendocrinology","L. M. Carini, C. A. Murgatroyd and B. C. Nephew",2013,1
13,Zinc deficiency induces behavioral alterations in the tail suspension test in mice. Effect of antidepressants,"BACKGROUND: Recently, experimental zinc deficiency has been correlated with depression-like alterations in rodents. METHODS: In the first part of present study, the time course of zinc deficient diet induced alterations in the tail suspension test (TST) in mice was investigated. In the second part, the effect of imipramine and escitalopram in control and zinc-deprived for 3 weeks mice was examined in the TST. RESULTS: A4- and 10-week administration of a Zn-deficient diet enhanced the immobility time in the TST (by 20% and 57%, respectively). By contrast, a 2-week period of a zinc deficient diet effected the reduction (by 24%) of the immobility time. Moreover, a 2- and 4-week (but not 10-week) of a Zn-deficient diet resulted in the reduction of the body weight (by 37% and 18%, respectively). These results indicate the developing response to zinc deficiency induced by a zinc-deficient diet. The antidepressant-like effect (reduction in the immobility time) of both drugs was significantly reduced in zinc-deprived mice, which suggests treatment-resistance induced by zinc deprivation. CONCLUSION: Zinc deprivation induces ""pro-depressive"" behavior and alters antidepressant efficacy",K. Mlyniec and G. Nowak,2012,1
14,Early life stress alters adult serotonin 2C receptor pre-mRNA editing and expression of the alpha subunit of the heterotrimeric G-protein G q,"Infant maternal separation, a paradigm of early life stress in rodents, elicits long-lasting changes in gene expression that persist into adulthood. In BALB/c mice, an inbred strain with spontaneously elevated anxiety and stress reactivity, infant maternal separation led to increased depression-like behavioral responses to adult stress and robustly increased editing of serotonin 2C receptor pre-mRNA. Chronic fluoxetine treatment of adult BALB/c mice exposed to early life stress affected neither their behavioral responses to stress nor their basal 5-HT2C pre-mRNA editing phenotype. However, when fluoxetine was administered during adolescence, depression-like behavioral responses to stress were significantly diminished in these mice, and their basal and stress-induced 5-HT2C pre-mRNA editing phenotypes were significantly lower. Moreover, when BALB/c mice exposed to early life stress were raised in an enriched postweaning environment, their depression-like behavioral responses to adult stress were also significantly diminished. However, their 5-HT2C pre-mRNA editing phenotype remained unaltered. Hence, the similar behavioral effects of enrichment and fluoxetine treatment during adolescence were not accompanied by similar changes in 5-HT2C pre-mRNA editing. Enriched and nonenriched BALB/c mice exposed to early life stress also exhibited significantly increased expression of mRNA and protein encoding the G alpha q subunit of G-protein that couples to 5-HT2A/2C receptors. In contrast, G alpha q expression levels were significantly lower in fluoxetine-treated mice. These findings suggest that compensatory changes in G alpha q expression occur in mice with persistently altered 5-HT2C pre-mRNA editing and provide an explanation for the dissociation between 5-HT2C receptor editing phenotypes and behavioral stress responses","P. Bhansali, J. Dunning, S. E. Singer, L. David and C. Schmauss",2007,1
15,Anhedonia in postpartum rats,"Postpartum depression (PPD) is a debilitating illness, yet little is known about its causes. The purpose of this study was to examine a major symptom of depression during the postpartum period, anhedonia, by comparing sucrose preference in female rats that had undergone actual pregnancy or hormone-simulated pregnancy (HSP) to their respective controls. Whereas HSP rats showed significantly less preference than vehicle control rats for 1% sucrose solution during the first three weeks of the ""postpartum"" period, previously pregnant females showed only slightly depressed sucrose preference for the first 1-2 days postpartum, compared to non-pregnant controls. Habituation to 1% sucrose during the pregnancy period, which increased preference upon later testing in previously pregnant rats tested on postpartum day 2, did not significantly increase preference in HSP rats, suggesting that depressed preference in the latter group was not due to neophobia. Pre-treatment with desipramine did not prevent suppressed sucrose preference in HSP rats, and preference was even further suppressed following chronic sertraline treatment. These results suggest that estradiol withdrawal following HSP may cause anhedonia during the early ""postpartum"" period. In contrast, females that have undergone actual pregnancy are less likely to show this effect, suggesting that postpartum hormonal changes other than the dramatic decline in estradiol may buffer its negative mood effects. © 2009 Elsevier Inc. All rights reserved","B. M. Navarre, J. D. Laggart and R. M. Craft",2010,1
16,[Correction of psychodepressive effects of benzodiazepine tranquilizers by administration of psychostimulants],,I. Bobkov and I. S. Morozov,1982,1
17,"The prodrug 4-chlorokynurenine causes ketamine-like antidepressant effects, but not side effects, by NMDA/glycine<inf>B</inf>-site inhibitionS","Currently approved antidepressant drug treatment typically takes several weeks to be effective. The noncompetitive N-methyl-D-aspartate (NMDA) receptor antagonist ketamine has shown efficacy as a rapid-acting treatment of depression, but its use is associated with significant side effects. We assessed effects following blockade of the glycine<inf>B</inf> co-agonist site of the NMDA receptor, located on the GluN1 subunit, by the selective full antagonist 7-chloro-kynurenic acid (7-Cl-KYNA), delivered by systemic administration of its brain-penetrant prodrug 4-chlorokynurenine (4-Cl-KYN) in mice. Following administration of 4-Cl-KYN, 7-Cl-KYNA was promptly recovered extracellularly in hippocampal microdialysate of freely moving animals. The behavioral responses of the animals were assessed using measures of ketamine-sensitive antidepressant efficacy (including the 24-hour forced swim test, learned helplessness test, and novelty-suppressed feeding test). In these tests, distinct from fluoxetine, and similar to ketamine, 4-Cl-KYN administration resulted in rapid, dose-dependent and persistent antidepressant-like effects following a single treatment. The antidepressant effects of 4-Cl-KYN were prevented by pretreatment with glycine or the a-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptor antagonist 2,3-dihydroxy-6-nitro-7-sulfamoyl-benzo[f]quinoxaline-2,3-dione (NBQX). 4-Cl-KYN administration was not associated with the rewarding and psychotomimetic effects of ketamine, and did not induce locomotor sensitization or stereotypic behaviors. Our results provide further support for antagonism of the glycine<inf>B</inf> site for the rapid treatment of treatment-resistant depression without the negative side effects seen with ketamine or other channelblocking NMDA receptor antagonists","P. Zanos, S. C. Piantadosi, H.-Q. Wu, H. J. Pribut, M. J. Dell, A. Can, H. R. Snodgrass, C. A. Zarate, R. Schwarcz and T. D. Gould",2015,1
18,Antidepressant and anxiolytic activities of bio flavonoid-gossypin,"Gossypin is a bioflavonoid compound and is found in various herbs, especially in Malvaceae family. The pharmacological properties of Gossypin have been rarely reported with the exception of its antioxidant and anti-inflammatory activity. The purpose of this study was to characterize the putative anxiolytic-like properties and antidepressant activity using an elevated plus maze (EPM), Light -Dark test forced swim test, chronic mild stress (CMS) and sedative property by pentobarbitone induced sleeping time. Control mice were treated with an equal volume of vehicle (Saline 0.9% w/v), and positive control mice were treated with diazepam. (1 mg/kg). All the test drugs were administered orally. Gossypin (20mg/kg) significantly increase the time spent in open arms of EPM test (p< 0.01). In the light-dark test, Gossypin significantly increased the time spent in light space at 20mg/kg (p<0.01). The Antidepressant effect was supported by the forced swim test, Gossypin (20mg/kg) significantly shortened the immobility time and the effect was comparable to Imipramine (20mg/kg) (p<0.01). In the CMS test, mice were subjected to CMS exhibited as reduction in sucrose intake, the reversal of the intake has been shown by Gossypin (20mg/kg) in 21 days treatment, which was comparable to Amytriptaline (20mg/kg) (p<0.01). At higher doses, a sedative effect produced by acute administration of Gossypin (20mg/kg) was indicated by the potentiation of pentobarbital induced sleep. The present results shows the anxiolytic profile and antidepressant effect of Gossypin","R. Duraisami, D. Srinivasan and S. Ramasamy",2008,1
19,Impairments in neurogenesis are not tightly linked to depressive behavior in a transgenic mouse model of Alzheimer's disease,"Alzheimer's disease (AD), the most common cause of dementia, is also associated with depression. Although the precise mechanisms that lead to depression in AD are unknown, the impairments in adult hippocampal neurogenesis observed in AD may play a role. Adult-born neurons play a critical role in regulating both cognition and mood, and reduced hippocampal neurogenesis is associated with depression in other neurological disorders. To assess the relationship between Alzheimer's disease, neurogenesis, and depression, we studied human amyloid precursor protein (hAPP) transgenic mice, a well-characterized model of AD. We report that reductions in hippocampal neurogenesis are evident early in disease progression in hAPP mice, but a mild depressive phenotype manifests only in later stages of disease. We found that hAPP mice exhibited a reduction in BrdU-positive cells in the subgranular zone of the dentate gyrus in the hippocampus, as well as a reduction in doublecortin-expressing cells, relative to nontransgenic controls at 5-7 months of age. These alterations in neurogenesis appeared to worsen with age, as the magnitude of reduction in doublecortin-expressing cells was greater in hAPP mice at 13-15 months of age. Only 13-15 month old hAPP mice exhibited depressive behavior in the tail suspension test. However, mice at both age groups exhibited deficits in spatial memory, which was observed in the Morris water maze test for hippocampus-dependent memory. These findings indicate that neurogenesis impairments are accompanied by cognitive deficits, but are not tightly linked to depressive behavior in hAPP mice","D. M. Iascone, S. Padidam, M. S. Pyfer, X. Zhang, L. Zhao and J. Chin",2013,1
20,Dose-related effects of venlafaxine on pCREB and brain-derived neurotrophic factor (BDNF) in the hippocampus of the rat by chronic unpredictable stress,"Background: The molecular pathogenesis of depression and psychopharmacology of antidepressants remain elusive. Recent hypotheses suggest that changes in neurogenesis and plasticity may underlie the aetiology of depression. The hippocampus is affected by depression and shows neuronal remodelling during adulthood. Objective: The present study on the adult rat hippocampus, was to evaluate the dose-related effects of chronic venlafaxine on the expression of brain-derived neurotrophic factor (BDNF) and phosphorylated cyclic-AMP response element binding protein (pCREB). Methods: Sprague-Dawley rats were exposed to a variety of chronic unpredictable stressors (CUSs) to establish a depression model. Rats were treated for either 14 or 28 days with venlafaxine (5 and 10 mg/kg, respectively). The hippocampal expression of pCREB and BDNF mRNA and protein was assessed by using immunohistochemistry, western blotting and reverse transcription polymerase chain reaction (RT-PCR). Results: Rats subjected to CUS procedure consumed less sucrose solution compared with non-stressed rats. The CUS influenced exploratory activity resulting in a reduction of the motility counts. Chronic low dose (5 mg/kg, 14 and 28 days), but not high dose (10 mg/kg, 14 and 28 days) of venlafaxine treatment increased the expression of pCREB and BDNF mRNA and protein in the CUS rat hippocampus. Conclusion: Neuronal plasticity-associated proteins such as pCREB and BDNF play an important role both in stress-related depression and in antidepressant effect. © 2011 John Wiley & Sons A/S","J.-J. Li, Y.-G. Yuan, G. Hou and X.-R. Zhang",2011,1
21,Activty of diltiazem and nifedipine in some animal models of depression,,"W. Kostowski, W. Dyr and O. Pucilowski",1990,1
22,Knockout mice in understanding the mechanism of action of lithium,"Lithium inhibits IMPase (inositol monophosphatase) activity, as well as inositol transporter function. To determine whether one or more of these mechanisms might underlie lithium's behavioural effects, we studied Impa1 (encoding IMPase) and Smit1 (sodium-myo-inositol transporter 1)-knockout mice. In brains of adult homozygous Impa1-knockout mice, IMPase activity was found to be decreased; however, inositol levels were not found to be altered. Behavioural analysis indicated decreased immobility in the forced-swim test as well as a strongly increased sensitivity to pilocarpine-induced seizures. These are behaviours robustly induced by lithium. In homozygous Smit1-knockout mice, free inositol levels were decreased in the frontal cortex and hippocampus. These animals behave like lithium-treated animals in the model of pilocarpine seizures and in the Porsolt forced-swim test model of depression. In contrast with O'Brien et al. [O'Brien, Harper, Jove, Woodgett, Maretto, Piccolo and Klein (2004) J. Neurosci. 24, 6791-6798], we could not confirm that heterozygous Gsk3b (glycogen synthase kinase 3beta)-knockout mice exhibit decreased immobility in the Porsolt forced-swim test or decreased amphetamine-induced hyperactivity in a manner mimicking lithium's behavioural effects. These data support the role of inositol-related processes rather than GSK3beta in the mechanism of the therapeutic action of lithium","G. Agam, Y. Bersudsky, G. T. Berry, D. Moechars, Y. Lavi-Avnon and R. H. Belmaker",2009,1
23,"Long-term stress degenerates, but imipramine regenerates, noradrenergic axons in the rat cerebral cortex","Exposed to a forced walking stress for 2 weeks, some rats became persistently inactive (depression-model rats), whereas others gradually recovered from exhaustion (spontaneous recovery rats). We also studied rats exposed to short-term stress, rats without stress, and the model rats treated with imipramine or saline. We examined the density of noradrenergic axons in the frontal cortex using retrograde labeling of the locus coeruleus with horseradish peroxidase injected into the cortex and immunohistochemical staining of cortical axons with dopamine beta-hydroxylase antiserum. The density was significantly lower in the depression-model rats, but tended to be higher in the recovery rats and short-term stressed rats. Chronic treatment with imipramine significantly increased the density in the model rats. There was also a correlation between the density of noradrenergic axons and the recovery rate of activity. Our results suggest that cortical noradrenergic degeneration is involved in the pathogenesis of depression","I. Kitayama, T. Yaga, T. Kayahara, K. Nakano, S. Murase, M. Otani and J. Nomura",1997,1
24,"Evaluation of standardized Bacopa monniera extract in sodium fluoride-induced behavioural, biochemical, and histopathological alterations in mice","Effect of standardized Bacopa monniera (BM; family: Scrophulariaceae) extract (100 and 300 mg/kg) against sodium fluoride (NaF; 100 and 200 ppm)-induced behavioural, biochemical, and neuropathological alterations in mice was evaluated. Akinesia, rotarod (motor coordination), forced swim test (depression), open field test (anxiety), transfer latency (memory), cholinesterase (ChE), and oxidative stress (superoxide dismutase, catalase, glutathione peroxidase, and lipid peroxidation) were determined in mice treated with NaF for 30 days alone and in combination with BM. NaF induced motor incoordination, depression, and memory impairment, and these were prevented by coadministration of BM in mice. However, NaF did not alter the weight gain, feed/water consumption, and anxiety profile. Suppression of ChE levels and increased oxidative stress were observed in mice treated with NaF. Coadministration of BM significantly improved the memory, ChE levels, and antioxidant enzymes but failed to alter the fluoride levels in NaF-treated mice. Histopathological studies revealed that BM protected the neuropathological alterations induced by NaF","B. Balaji, E. P. Kumar and A. Kumar",2015,1
